OPCS_CODE,TREATMENT_TYPE
S205,Surgery
S206,Surgery
S207,Surgery
S208,Surgery
S209,Surgery
S21X,Surgery
S211,Surgery
S212,Surgery
S213,Surgery
S214,Surgery
S218,Surgery
S219,Surgery
S22X,Surgery
S221,Surgery
S222,Surgery
S223,Surgery
S224,Surgery
S228,Surgery
S229,Surgery
S23X,Surgery
S231,Surgery
S232,Surgery
S233,Surgery
S234,Surgery
S238,Surgery
S239,Surgery
S24X,Surgery
S241,Surgery
S242,Surgery
S243,Surgery
S248,Surgery
S249,Surgery
S25X,Surgery
S251,Surgery
S252,Surgery
S253,Surgery
S258,Surgery
S259,Surgery
S26X,Surgery
S261,Surgery
S262,Surgery
S263,Surgery
S264,Surgery
S265,Surgery
S268,Surgery
S269,Surgery
S27X,Surgery
S271,Surgery
S272,Surgery
S273,Surgery
S274,Surgery
S275,Surgery
S278,Surgery
S279,Surgery
S288,Surgery
S29X,Surgery
S291,Surgery
S292,Surgery
S293,Surgery
S294,Surgery
S295,Surgery
S298,Surgery
S299,Surgery
S302,Surgery
S304,Surgery
S314,Surgery
S32X,Surgery
S321,Surgery
S322,Surgery
S323,Surgery
S324,Surgery
S325,Surgery
S328,Surgery
S329,Surgery
S338,Surgery
S339,Surgery
S341,Surgery
S348,Surgery
S349,Surgery
S35X,Surgery
S351,Surgery
S352,Surgery
S353,Surgery
S358,Surgery
S359,Surgery
S36X,Surgery
S361,Surgery
S362,Surgery
S363,Surgery
S364,Surgery
S365,Surgery
S366,Surgery
S368,Surgery
S369,Surgery
S37X,Surgery
S371,Surgery
S372,Surgery
S373,Surgery
S374,Surgery
S378,Surgery
S379,Surgery
S39X,Surgery
S391,Surgery
S392,Surgery
S398,Surgery
S399,Surgery
S641,Surgery
T01X,Surgery
T011,Surgery
T012,Surgery
T013,Surgery
T018,Surgery
T019,Surgery
T023,Surgery
T313,Surgery
T33X,Surgery
T331,Surgery
T332,Surgery
T338,Surgery
T339,Surgery
T361,Surgery
T362,Surgery
T85X,Surgery
T851,Surgery
T852,Surgery
T853,Surgery
T854,Surgery
T855,Surgery
T856,Surgery
T858,Surgery
T859,Surgery
T876,Surgery
T878,Surgery
T911,Surgery
T962,Surgery
V051,Surgery
V06X,Surgery
V061,Surgery
V068,Surgery
V069,Surgery
V074,Surgery
V141,Surgery
V142,Surgery
V143,Surgery
V144,Surgery
V149,Surgery
V168,Surgery
V191,Surgery
V291,Surgery
V312,Surgery
V318,Surgery
V319,Surgery
V331,Surgery
V339,Surgery
V351,Surgery
V43X,Surgery
V431,Surgery
V432,Surgery
V433,Surgery
V438,Surgery
V439,Surgery
X07X,Surgery
X071,Surgery
X072,Surgery
X073,Surgery
X074,Surgery
X075,Surgery
X078,Surgery
X079,Surgery
X08X,Surgery
X081,Surgery
X082,Surgery
X083,Surgery
X084,Surgery
X088,Surgery
X089,Surgery
X09X,Surgery
X091,Surgery
X092,Surgery
X093,Surgery
X094,Surgery
X095,Surgery
X098,Surgery
X099,Surgery
X10X,Surgery
X101,Surgery
X102,Surgery
X103,Surgery
X104,Surgery
X108,Surgery
X109,Surgery
X11X,Surgery
X111,Surgery
X112,Surgery
X118,Surgery
X119,Surgery
X12X,Surgery
X121,Surgery
X122,Surgery
X123,Surgery
X124,Surgery
X125,Surgery
X128,Surgery
X129,Surgery
X141,Surgery
X142,Surgery
X143,Surgery
X148,Surgery
X149,Surgery
X163,Surgery
X164,Surgery
X165,Surgery
X166,Surgery
Y051,Surgery
Y55X,Surgery
Y551,Surgery
Y552,Surgery
Y553,Surgery
Y554,Surgery
Y555,Surgery
Y556,Surgery
Y558,Surgery
Y559,Surgery
Y56X,Surgery
Y561,Surgery
Y562,Surgery
Y563,Surgery
Y564,Surgery
Y568,Surgery
Y569,Surgery
Y57X,Surgery
Y571,Surgery
Y572,Surgery
Y573,Surgery
Y574,Surgery
Y575,Surgery
Y576,Surgery
Y578,Surgery
Y579,Surgery
Y58X,Surgery
Y581,Surgery
Y588,Surgery
Y589,Surgery
Y59X,Surgery
Y591,Surgery
Y592,Surgery
Y593,Surgery
Y594,Surgery
Y595,Surgery
Y596,Surgery
Y598,Surgery
Y599,Surgery
Y601,Surgery
Y602,Surgery
Y604,Surgery
Y608,Surgery
Y609,Surgery
Y61X,Surgery
Y611,Surgery
Y612,Surgery
Y613,Surgery
Y614,Surgery
Y615,Surgery
Y618,Surgery
Y619,Surgery
Y62X,Surgery
Y621,Surgery
Y622,Surgery
Y623,Surgery
Y628,Surgery
Y629,Surgery
Y631,Surgery
Y638,Surgery
Y662,Surgery
Y671,Surgery
Y672,Surgery
Y678,Surgery
Y679,Surgery
Y692,Surgery
